player,wins,win_pct,avg_set_diff,avg_point_diff,matches_played,unique_opponents,avg_opponent_win_pct,cluster,distance_to_centroid,cluster_description
Sydorenko A.,5,0.3333333333333333,-0.3333333333333333,-0.2,15,5,0.502,0,1.558807493429856,Weaker performance
Sydorenko V.,14,0.3111111111111111,-0.8444444444444444,-3.6444444444444444,45,14,0.5368712522045855,0,1.9361410934875785,Weaker performance
Sykora J.,6,0.5,0.08333333333333333,0.6666666666666666,12,6,0.5526041666666667,0,2.435055686999189,Weaker performance
Syniavskyi I.,7,0.23333333333333334,-1.0666666666666667,-6.066666666666666,30,6,0.5244444444444444,0,1.5392146024948907,Weaker performance
Syvych V.,6,0.4,-0.4,-1.5333333333333334,15,6,0.4942222222222223,0,1.2673207318929722,Weaker performance
Taranko M.,5,0.3125,-1.0,-3.625,16,10,0.5438023961461461,0,1.1290477055635182,Weaker performance
Tatarnykov V.,5,0.2777777777777778,-0.7777777777777778,-5.111111111111111,18,11,0.4832296512365095,0,1.310272630230407,Weaker performance
Todiras I.,3,0.3,-1.3,-6.4,10,7,0.5261002237851662,0,1.5840435687214487,Weaker performance
Tokar M.,6,0.4,-0.13333333333333333,-0.8666666666666667,15,11,0.5248361533518955,0,1.3884763888966563,Weaker performance
Tolstykh R.,7,0.4666666666666667,-0.2,-1.0,15,10,0.499037037037037,0,1.4391393412835791,Weaker performance
Torhachov I.,10,0.3333333333333333,-1.0666666666666667,-3.566666666666667,30,10,0.4769195152808598,0,1.3022832446551766,Weaker performance
Tur A.,30,0.45454545454545453,-0.25757575757575757,-2.257575757575758,66,3,0.5167345092718226,0,2.8677326488286674,Weaker performance
Tutura M.,4,0.4,-1.0,-4.9,10,6,0.4935714285714286,0,1.3547621746203218,Weaker performance
Uzun I.,8,0.4444444444444444,-0.3888888888888889,-1.3888888888888888,18,9,0.5208003711485832,0,1.0299401531358519,Weaker performance
Valchuk I.,3,0.12,-1.76,-8.8,25,11,0.5209406767539195,0,2.808197127882803,Weaker performance
Veis M.,8,0.5333333333333333,0.06666666666666667,-0.13333333333333333,15,9,0.540952380952381,0,2.1246646863406893,Weaker performance
Vietrov V.,9,0.45,-0.35,-2.05,20,8,0.5266209641751438,0,1.0396262198941968,Weaker performance
Voronenkov V.,4,0.4,-0.1,-1.3,10,6,0.5493367346938776,0,1.8201532721212952,Weaker performance
Yamchuk V.,0,0.0,-2.6666666666666665,-11.333333333333334,18,10,0.5186961642333544,0,4.439098422242526,Weaker performance
Yurenev O.,8,0.4,-0.35,-1.7,20,10,0.5093641456582633,0,0.8606833885947296,Weaker performance
Yushko R.,12,0.36363636363636365,-0.6363636363636364,-2.8181818181818183,33,9,0.49516338667599175,0,0.7811614469125785,Weaker performance
Zeman L.,6,0.375,-0.5625,-1.375,16,7,0.55546875,0,1.5111732591630858,Weaker performance
Zholubak R.,19,0.3877551020408163,-0.3877551020408163,-1.7142857142857142,49,7,0.5065374475148912,0,1.6034623359183005,Weaker performance
Zlamala M.,2,0.2,-1.6,-7.4,10,8,0.5538541163591874,0,2.472216515615212,Weaker performance
Zotov Y.,12,0.4444444444444444,-0.2962962962962963,-1.037037037037037,27,11,0.5143368247465104,0,1.2678302261129684,Weaker performance
Adyntsev M.,6,0.6,0.5,1.7,10,5,0.49399999999999994,1,1.4200935510076231,Stronger performance
Andrievskiy V.,10,0.5,-0.05,-1.35,20,9,0.46799999999999997,1,1.9018291900712683,Stronger performance
Baday M.,52,0.7428571428571429,1.1857142857142857,4.3428571428571425,70,9,0.5266734460499652,1,2.9973573168676007,Stronger performance
Bahrii O.,16,0.64,0.72,2.84,25,10,0.46,1,0.6274617672729064,Stronger performance
Baranov M.,7,0.7,1.2,4.5,10,5,0.5011557853910795,1,1.760481477074195,Stronger performance
Bohach S.,15,0.6,0.16,0.96,25,7,0.4842666666666667,1,1.095438070009365,Stronger performance
Boiko V.,13,0.6842105263157895,0.631578947368421,3.1578947368421053,19,7,0.5307329435960513,1,1.6714117701166251,Stronger performance
Borysiuk O.,6,0.6,0.3,0.3,10,7,0.5060284477427335,1,1.5225090562124681,Stronger performance
Bosak D.,9,0.9,2.0,10.1,10,7,0.4411111111111111,1,3.7073756603404298,Stronger performance
Bouska M.,11,1.0,2.272727272727273,9.818181818181818,11,4,0.42616803486368704,1,4.533169133835265,Stronger performance
Budnikov A.,10,0.5,0.0,-0.15,20,5,0.48665948529099257,1,1.9351543030291845,Stronger performance
Bulat P.,13,0.9285714285714286,1.8571428571428572,9.642857142857142,14,10,0.5501450823598837,1,3.9836218738212272,Stronger performance
Butko V.,11,0.55,0.15,0.6,20,6,0.4786666666666667,1,1.4072425109630728,Stronger performance
Capusta A.,10,0.8333333333333334,1.4166666666666667,5.166666666666667,12,8,0.5582405657330639,1,3.070478538434198,Stronger performance
Chalupa J.,21,0.65625,0.6875,3.21875,32,13,0.45504139957264955,1,1.3405176137212806,Stronger performance
Chulanov V.,7,0.4666666666666667,0.06666666666666667,0.2,15,8,0.4692567432567432,1,1.7294595274894837,Stronger performance
